               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.060808,           0.0073961,           0.0021294,             0.67416,              0.8479,             0.78356,             0.40907,            0.061624,           0.0032723,           0.0023067,            0.003565,            0.003565,            0.003565
                  67,            0.047155,           0.0061427,           0.0029075,             0.77457,             0.88235,             0.86302,             0.46811,            0.057521,            0.003328,           0.0020058,            0.003466,            0.003466,            0.003466
                  68,            0.054456,           0.0075302,           0.0033069,             0.73934,             0.87085,             0.86619,             0.46706,            0.058543,           0.0033077,            0.001971,            0.003367,            0.003367,            0.003367
                  69,            0.052546,           0.0064472,           0.0028675,             0.74769,             0.88235,             0.88068,             0.53367,            0.055976,            0.003347,           0.0017991,            0.003268,            0.003268,            0.003268
                  70,            0.052822,           0.0063308,           0.0043459,              0.7135,             0.87399,             0.87228,             0.50752,            0.062905,           0.0032726,           0.0015947,            0.003169,            0.003169,            0.003169
                  71,            0.057184,           0.0065102,           0.0038329,             0.75571,             0.91176,             0.89383,             0.54955,            0.055154,           0.0033049,           0.0015331,             0.00307,             0.00307,             0.00307
                  72,            0.062012,           0.0063763,           0.0040259,             0.81245,             0.87175,             0.90266,             0.46626,            0.060308,           0.0032645,           0.0016012,            0.002971,            0.002971,            0.002971
                  73,            0.046502,           0.0050592,           0.0019273,             0.81241,             0.91622,             0.90265,             0.50831,            0.055759,           0.0032208,           0.0017362,            0.002872,            0.002872,            0.002872
                  74,            0.045594,           0.0052433,           0.0030888,             0.81227,             0.92053,             0.90267,             0.55961,            0.056056,           0.0031512,           0.0017434,            0.002773,            0.002773,            0.002773
                  75,            0.051421,           0.0063009,           0.0017011,             0.81234,             0.92002,             0.90268,             0.51804,            0.056274,           0.0031285,           0.0017567,            0.002674,            0.002674,            0.002674
                  76,            0.060088,           0.0084712,           0.0031851,             0.77852,             0.90459,             0.87715,              0.4793,            0.056156,           0.0031435,           0.0018129,            0.002575,            0.002575,            0.002575
                  77,            0.041411,           0.0052955,           0.0020681,             0.80148,              0.8444,             0.87563,             0.53507,            0.052998,           0.0031108,            0.001825,            0.002476,            0.002476,            0.002476
                  78,            0.044623,           0.0059638,           0.0025724,             0.76777,             0.88191,              0.8623,             0.47246,            0.055578,           0.0031001,           0.0018134,            0.002377,            0.002377,            0.002377
                  79,            0.048635,           0.0062278,           0.0022088,              0.7414,             0.94118,              0.8305,             0.51319,            0.050625,           0.0031145,           0.0017231,            0.002278,            0.002278,            0.002278
                  80,            0.053046,           0.0068757,           0.0042877,             0.74095,             0.93977,             0.81883,             0.41636,            0.059719,           0.0030494,           0.0017044,            0.002179,            0.002179,            0.002179
                  81,            0.046272,           0.0053344,           0.0024778,              0.8571,             0.90305,             0.85448,             0.55411,            0.050566,           0.0030643,           0.0016722,             0.00208,             0.00208,             0.00208
                  82,            0.042097,           0.0054765,           0.0026728,             0.80281,             0.94118,             0.83602,             0.43403,            0.054452,           0.0030401,             0.00167,            0.001981,            0.001981,            0.001981
                  83,            0.054508,            0.006966,           0.0031805,             0.80711,             0.94118,             0.84436,             0.53728,            0.049057,           0.0030598,           0.0017258,            0.001882,            0.001882,            0.001882
                  84,            0.037535,           0.0064299,           0.0036674,             0.79901,             0.94118,             0.84436,             0.54532,            0.051208,            0.003047,           0.0017871,            0.001783,            0.001783,            0.001783
                  85,            0.047524,           0.0055343,           0.0030774,             0.80942,             0.91176,             0.84247,             0.51734,            0.049963,           0.0030379,           0.0015824,            0.001684,            0.001684,            0.001684
